,benign,bruteForce,ddos_slowloris,ddos_tcp_ddos,pfcp_session_deletion,pfcp_session_establishment,pfcp_session_modification
dst2src_stddev_piat_ms,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dst2src_max_piat_ms,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bidirectional_syn_packets,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bidirectional_cwr_packets,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bidirectional_ece_packets,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bidirectional_urg_packets,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bidirectional_ack_packets,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bidirectional_psh_packets,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bidirectional_rst_packets,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bidirectional_fin_packets,0.0,0.0,0.0,0.0,0.0,0.0,0.0
src2dst_syn_packets,0.0,0.0,0.0,0.0,0.0,0.0,0.0
src2dst_cwr_packets,0.0,0.0,0.0,0.0,0.0,0.0,0.0
src2dst_ece_packets,0.0,0.0,0.0,0.0,0.0,0.0,0.0
src2dst_urg_packets,0.0,0.0,0.0,0.0,0.0,0.0,0.0
src2dst_ack_packets,0.0,0.0,0.0,0.0,0.0,0.0,0.0
src2dst_psh_packets,0.0,0.0,0.0,0.0,0.0,0.0,0.0
src2dst_rst_packets,0.0,0.0,0.0,0.0,0.0,0.0,0.0
src2dst_fin_packets,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dst2src_syn_packets,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dst2src_cwr_packets,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dst2src_ece_packets,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dst2src_urg_packets,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dst2src_ack_packets,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dst2src_psh_packets,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dst2src_rst_packets,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dst2src_fin_packets,0.0,0.0,0.0,0.0,0.0,0.0,0.0
application_name,0.0,0.0,0.0,0.0,0.0,0.0,0.0
application_category_name,0.0,0.0,0.0,0.0,0.0,0.0,0.0
application_is_guessed,0.0,0.0,0.0,0.0,0.0,0.0,0.0
application_confidence,0.0,0.0,0.0,0.0,0.0,0.0,0.0
requested_server_name,92.97246,100.0,100.0,86.234539,100.0,100.0,100.0
client_fingerprint,92.991453,100.0,100.0,98.903027,100.0,100.0,100.0
server_fingerprint,93.08642,100.0,100.0,98.920791,100.0,100.0,100.0
user_agent,99.981007,100.0,100.0,87.331512,100.0,100.0,100.0
content_type,99.990503,100.0,100.0,87.649057,100.0,100.0,100.0
udps.heartbeat_request_counter,0.0,0.0,0.0,0.0,0.0,0.0,0.0
udps.heartbeat_response_counter,0.0,0.0,0.0,0.0,0.0,0.0,0.0
udps.pfd_management_request_counter,0.0,0.0,0.0,0.0,0.0,0.0,0.0
udps.pfd_management_response_counter,0.0,0.0,0.0,0.0,0.0,0.0,0.0
udps.association_setup_request_counter,0.0,0.0,0.0,0.0,0.0,0.0,0.0
udps.association_setup_response_counter,0.0,0.0,0.0,0.0,0.0,0.0,0.0
udps.association_update_request_counter,0.0,0.0,0.0,0.002221,0.0,0.0,0.0
udps.association_update_response_counter,0.0,0.0,0.0,0.002221,0.0,0.0,0.0
udps.association_release_request_counter,0.0,0.0,0.0,0.002221,0.0,0.0,0.0
udps.association_release_response_counter,0.0,0.0,0.0,0.002221,0.0,0.0,0.0
udps.version_not_supported_response_counter,0.0,0.0,0.0,0.002221,0.0,0.0,0.0
udps.node_report_request_counter,0.0,0.0,0.0,0.002221,0.0,0.0,0.0
udps.node_report_response_counter,0.0,0.0,0.0,0.002221,0.0,0.0,0.0
udps.session_set_deletion_request_counter,0.0,0.0,0.0,0.002221,0.0,0.0,0.0
udps.session_set_deletion_response_counter,0.0,0.0,0.0,0.002221,0.0,0.0,0.0
udps.session_establishment_request_counter,0.0,0.0,0.0,0.002221,0.0,0.0,0.0
udps.session_establishment_response_counter,0.0,0.0,0.0,0.002221,0.0,0.0,0.0
udps.session_modification_request_counter,0.0,0.0,0.0,0.002221,0.0,0.0,0.0
udps.session_modification_response_counter,0.0,0.0,0.0,0.002221,0.0,0.0,0.0
udps.session_deletion_request_counter,0.0,0.0,0.0,0.002221,0.0,0.0,0.0
udps.session_deletion_response_counter,0.0,0.0,0.0,0.002221,0.0,0.0,0.0
udps.session_report_request_counter,0.0,0.0,0.0,0.002221,0.0,0.0,0.0
udps.session_report_response_counter,0.0,0.0,0.0,0.002221,0.0,0.0,0.0
__label,0.0,0.0,0.0,0.0,0.0,0.0,0.0
__source_file,0.0,0.0,0.0,0.0,0.0,0.0,0.0
label,100.0,100.0,100.0,0.002221,100.0,100.0,100.0
